Start Date (Time Zone: America / Denver),End Date (Time Zone: America / Denver),IP Address,Duration (in seconds),Response ID,RandNum_ID,Location Latitude,Location Longitude,Gender,Age,Education,Work Experience,Race,Race_Other_Text,Kevin_Kelly,What is the salary increase that [] asked for?,How did [] start the conversation?,What was Sean's reasoning for denying []'s request?,"On a scale of 1-10, how aggressive do you feel [] was being in that meeting?","On a scale of 1-10, how aggressive do you feel Sean was being in that meeting?",Did you feel that []'s actions were driven more by internal factors or by external factors?,Did you feel that Sean's actions were driven more by internal factors or by external factors?,Timing - Page Submit
4/2/21 10:03,4/2/21 10:06,71.254.204.156,175,R_3qNYEpt8YGy8EZJ,2896496,40.17880249,-77.00469971,Female,45-59 years old,Bachelor's degree in college (4-year),16-20 years,"White,Asian",,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,3,Internal factors,External factors,150.115
4/2/21 10:00,4/2/21 10:06,186.179.51.109,332,R_9ZTQwIzDnjsvMcx,2307667,42.06809998,-72.62560272,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,Asian,,Kevin,15%,Got straight to [his/her] request,Does not have the budget for salary increases,8,6,Internal factors,External factors,289.7
4/2/21 10:06,4/2/21 10:07,71.197.119.3,45,R_3x8WYYWl2ud8Ubn,2569212,38.58099365,-121.4938965,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kevin,15%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,9,7,Internal factors,External factors,19.626
4/2/21 9:58,4/2/21 10:07,67.241.15.125,588,R_2zvdeZqJUuIXIhw,7183485,43.06990051,-76.11440277,Female,30-44 years old,Master's degree,11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,4,External factors,Internal factors,520.197
4/2/21 10:04,4/2/21 10:07,98.246.166.59,236,R_qFyS2MtjTdW6Ozv,5038410,45.54960632,-122.8292999,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,10,Internal factors,External factors,200.121
4/2/21 10:02,4/2/21 10:07,204.141.208.3,332,R_26gvmBqd35LzPym,1519650,37.75100708,-97.8219986,Male,30-44 years old,Master's degree,16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,7,Internal factors,External factors,21.09
4/2/21 10:02,4/2/21 10:08,174.71.166.194,393,R_31Y2gOJA2qedKo3,9117158,33.59820557,-112.3723984,Female,45-59 years old,Associate degree in college (2-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,8,External factors,Internal factors,298.476
4/2/21 10:04,4/2/21 10:09,67.44.240.66,272,R_3jcSPxnIYeJq4Q1,8051936,33.52259827,-86.80329895,Non-binary / third gender,30-44 years old,Associate degree in college (2-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,7,Internal factors,External factors,200.291
4/2/21 10:08,4/2/21 10:10,98.14.147.148,101,R_1fezXg0pzZHgNGF,7551712,40.73640442,-73.86949921,Male,30-44 years old,Bachelor's degree in college (4-year),11-15 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,4,Internal factors,External factors,84.268
4/2/21 10:08,4/2/21 10:10,71.202.98.199,138,R_1LcaSYkO1zHXk4P,2400228,37.5625,-122.0003967,Male,18-29 years old,Bachelor's degree in college (4-year),6-10 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,4,External factors,External factors,115.162
4/2/21 10:09,4/2/21 10:11,208.99.225.205,122,R_afaqyGPNqlAlf0Z,3928839,43.26780701,-82.82430267,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,4,Internal factors,External factors,98.279
4/2/21 9:59,4/2/21 10:11,98.165.239.135,744,R_2WAObrBdzXBhIlU,9136477,33.44940186,-112.1940994,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kevin,15%,Got straight to [his/her] request,Does not have the budget for salary increases,6,8,External factors,Internal factors,46.391
4/2/21 10:08,4/2/21 10:11,68.102.182.181,213,R_1CEgQv3OkjlugcY,4763220,38.37460327,-97.67299652,Female,30-44 years old,High school graduate (high school diploma or equivalent including GED),16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,10,0,Internal factors,External factors,148.73
4/2/21 10:11,4/2/21 10:13,73.5.46.225,112,R_1dy2UnjaGgQbUqH,4149714,35.25180054,-90.02469635,Male,30-44 years old,Associate degree in college (2-year),6-10 years,Black or African American,,Kevin,5%,Got straight to [his/her] request,Strict company policy on timing of salary increases,7,8,External factors,Internal factors,15.522
4/2/21 10:09,4/2/21 10:13,184.164.160.75,246,R_27k8xduLSO7vkSQ,2774187,25.78729248,-80.15640259,Female,45-59 years old,Master's degree,16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,8,External factors,Internal factors,192.494
4/2/21 10:14,4/2/21 10:14,108.35.170.174,49,R_2BbT2GHyFrE8e9o,1243014,40.92410278,-74.54640198,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,"White,Black or African American",,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,9,Internal factors,External factors,35.067
4/2/21 10:11,4/2/21 10:15,104.247.222.37,212,R_31phMu4yJuXa8Xa,7539044,34.04849243,-118.2528992,Female,30-44 years old,Master's degree,6-10 years,White,,Kevin,15%,Recognized the entire team for their support,Does not have the budget for salary increases,6,7,Internal factors,Internal factors,179.612
4/2/21 10:13,4/2/21 10:15,66.172.203.23,99,R_1LRPJanIT6ifRTY,5648264,41.89399719,-94.68000031,Female,30-44 years old,Master's degree,16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,1,Internal factors,External factors,68.564
4/2/21 10:14,4/2/21 10:16,107.77.195.212,82,R_BzwjLsy1e0vPeg1,9504824,40.85519409,-82.31430054,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,6,Internal factors,Internal factors,65.886
4/2/21 10:13,4/2/21 10:16,98.232.93.247,182,R_1eOHDJgoXnN2bHw,9629774,47.58340454,-122.2978973,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kevin,15%,Got straight to [his/her] request,Does not have the budget for salary increases,7,9,Internal factors,Internal factors,157.36
4/2/21 10:17,4/2/21 10:18,66.24.37.236,79,R_3rMu0BCKhBiNVUZ,7104149,42.14709473,-75.88159943,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,3,Internal factors,External factors,61.66
4/2/21 10:14,4/2/21 10:18,50.231.89.203,261,R_sI2zmfu8ew8kAiB,9862986,33.89830017,-84.58930206,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kevin,15%,Recognized the entire team for their support,Does not have the budget for salary increases,6,8,Internal factors,External factors,198.8
4/2/21 10:14,4/2/21 10:19,65.75.97.109,339,R_1MR44hZnA6qFESt,6621014,25.08329773,-77.34999847,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,Black or African American,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,3,Internal factors,External factors,308.168
4/2/21 10:16,4/2/21 10:20,208.203.212.177,192,R_3eaFn6O9HtNJwRW,6090792,39.98449707,-75.58599854,Female,30-44 years old,Master's degree,1-2 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,9,9,Internal factors,Internal factors,145.783
4/2/21 10:15,4/2/21 10:20,74.118.138.27,324,R_3QLdEbQQpkUvrSF,2721609,37.75100708,-97.8219986,Female,30-44 years old,Master's degree,6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,7,Internal factors,Internal factors,253.712
4/2/21 10:17,4/2/21 10:21,98.34.163.73,199,R_3qakX7Fi9sXWCJl,9496898,29.79119873,-95.41819763,Male,30-44 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,4,Internal factors,External factors,168.827
4/2/21 10:17,4/2/21 10:21,63.75.252.113,257,R_3DkGVj80b2bT27h,7576222,39.61019897,-75.67469788,Female,30-44 years old,Master's degree,6-10 years,White,,Kevin,15%,Recognized the entire team for their support,Strict company policy on timing of salary increases,2,5,Internal factors,External factors,133.219
4/2/21 10:19,4/2/21 10:21,79.110.180.4,116,R_1q2iWEKaWgOXqmX,6982674,33.45320129,-112.0747986,Male,18-29 years old,Master's degree,1-2 years,White,,Kevin,10%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,10,9,Internal factors,External factors,40.858
4/2/21 10:21,4/2/21 10:22,73.129.243.214,91,R_24IDnJBJjiCYKTk,8059636,39.28909302,-76.5582962,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,2,External factors,External factors,69.791
4/2/21 10:22,4/2/21 10:22,104.247.195.43,46,R_ehvAyCjPbSj5jDH,8834031,34.04849243,-118.2528992,Male,30-44 years old,Master's degree,3-5 years,White,,Kevin,10%,Got straight to [his/her] request,Does not have the budget for salary increases,9,8,Internal factors,Internal factors,18.021
4/2/21 10:21,4/2/21 10:22,45.34.14.147,71,R_8jI0Bu9NvVcedUZ,8614700,32.81370544,-96.87039948,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kevin,10%,Got straight to [his/her] request,Strict company policy on timing of salary increases,9,10,External factors,Internal factors,18.562
4/2/21 10:22,4/2/21 10:23,163.123.180.178,42,R_3lSIkluzcKf1C4A,8158267,37.75100708,-97.8219986,Female,30-44 years old,Master's degree,6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,7,Internal factors,Internal factors,14.985
4/2/21 10:19,4/2/21 10:23,174.214.48.225,263,R_3ettGd26Tw5akBJ,7066197,39.3625946,-85.97070313,Female,30-44 years old,Associate degree in college (2-year),6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,3,Internal factors,External factors,204.416
4/2/21 10:20,4/2/21 10:23,98.212.152.69,171,R_2arGg9UoV6vlzmf,9730128,40.11199951,-88.2365036,Male,30-44 years old,Bachelor's degree in college (4-year),3-5 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,1,Internal factors,External factors,137.146
4/2/21 10:22,4/2/21 10:23,173.22.99.29,88,R_1Dop0IYR238wLpw,7725738,42.0440979,-91.6006012,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,6,External factors,Internal factors,71.84
4/2/21 10:23,4/2/21 10:25,68.69.252.172,142,R_1ltcjqGqN4GjwGy,4003102,46.85240173,-96.81210327,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,4,External factors,External factors,124.505
4/2/21 10:25,4/2/21 10:27,192.158.228.42,117,R_1NeJ17lNHReKphc,3411648,36.10079956,-115.1364975,Male,18-29 years old,Master's degree,3-5 years,White,,Kevin,10%,Got straight to [his/her] request,Does not have the budget for salary increases,8,7,Internal factors,External factors,77.621
4/2/21 10:24,4/2/21 10:28,108.215.205.221,246,R_e4MWCkG6Tj1VSVz,7421718,26.62390137,-80.09480286,Female,60+ years old,Associate degree in college (2-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,7,External factors,Internal factors,197.91
4/2/21 10:23,4/2/21 10:29,201.233.110.208,310,R_1hWmYlP4xpoxNJi,2188744,6.2059021,-75.59010315,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),16-20 years,Black or African American,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,5,External factors,Internal factors,271.02
4/2/21 10:27,4/2/21 10:29,68.9.190.177,152,R_3MbOaORzsaZiUcJ,3053671,41.76890564,-71.47579956,Male,60+ years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,3,External factors,Internal factors,129.334
4/2/21 10:28,4/2/21 10:29,98.224.139.163,99,R_3rJ5oMZFd5fP0fx,9229817,42.23849487,-83.17829895,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,2,Internal factors,External factors,74.202
4/2/21 10:28,4/2/21 10:31,152.130.7.65,201,R_1IB33VMzll0VqX0,8524458,37.43649292,-77.48069763,Male,45-59 years old,Doctoral degree,21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,5,External factors,Internal factors,174.132
4/2/21 10:27,4/2/21 10:31,73.212.196.112,220,R_2PC2PDAqGLt1o1R,1032554,39.27259827,-76.86139679,Female,18-29 years old,Master's degree,1-2 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,5,External factors,External factors,198.294
4/2/21 10:29,4/2/21 10:31,108.59.0.40,143,R_sI78FkV32jqma77,7844606,39.66850281,-75.70480347,Prefer not to say,45-59 years old,Master's degree,21+ years,"Asian,Native Hawaiian or Pacific Islander",,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,5,Internal factors,External factors,113.535
4/2/21 10:30,4/2/21 10:32,47.224.20.134,137,R_ugFHNBW1X8HuroR,3525028,44.25039673,-85.43000031,Male,30-44 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,4,Internal factors,Internal factors,112.843
4/2/21 10:32,4/2/21 10:33,72.180.179.167,35,R_1pzFDqK0InUPitv,4600898,25.9243927,-97.46260071,Female,18-29 years old,Associate degree in college (2-year),11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,3,Internal factors,External factors,21.857
4/2/21 10:29,4/2/21 10:33,99.94.176.91,279,R_2rPitI1w4VzR7dK,8661576,30.34829712,-81.41680145,Female,30-44 years old,Associate degree in college (2-year),21+ years,Black or African American,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,9,External factors,External factors,251.548
4/2/21 10:32,4/2/21 10:35,73.71.117.187,164,R_1jebUjl7qFL0RbD,7309155,37.2507019,-121.8359985,Male,18-29 years old,Bachelor's degree in college (4-year),3-5 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,6,Internal factors,External factors,138.775
4/2/21 10:33,4/2/21 10:35,173.67.13.132,109,R_4GvZB2JDoV9sa9b,3508333,39.12690735,-76.69799805,Female,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,2,Internal factors,External factors,76.788
4/2/21 10:32,4/2/21 10:35,66.23.192.169,205,R_6okjBYYLPOlFmgN,3440593,36.16850281,-115.1164017,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,1,1,Internal factors,External factors,169.935
4/2/21 10:35,4/2/21 10:37,73.219.165.199,135,R_TinLIcbFJEFS5nH,5305044,41.53619385,-72.08329773,Female,30-44 years old,Master's degree,11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,0,External factors,Internal factors,117.343
4/2/21 10:32,4/2/21 10:39,196.17.67.63,384,R_Xi7ZLTg0m9wMlWN,1296480,34.05439758,-118.2440033,Female,45-59 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Strict company policy on timing of salary increases,8,7,Internal factors,Internal factors,334.477
4/2/21 10:38,4/2/21 10:40,54.151.106.55,107,R_TvLjwDgrVRn5jIl,8093979,37.18069458,-121.7870026,Male,30-44 years old,Master's degree,11-15 years,Black or African American,,Kevin,10%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,6,8,Internal factors,External factors,19.453
4/2/21 10:34,4/2/21 10:40,69.181.52.35,377,R_2QEYe12f1Eq6q6e,6260001,37.72009277,-122.4413986,Female,18-29 years old,Bachelor's degree in college (4-year),3-5 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,7,Internal factors,External factors,336.667
4/2/21 10:33,4/2/21 10:40,107.136.41.144,409,R_3gS1scvZqyvO6zd,1310072,32.46479797,-99.7589035,Female,30-44 years old,Master's degree,3-5 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,5,Internal factors,Internal factors,217.183
4/2/21 10:41,4/2/21 10:43,107.77.253.2,110,R_2CeN2v14yiJl6Xv,6086093,28.04359436,-81.73329926,Female,18-29 years old,High school graduate (high school diploma or equivalent including GED),3-5 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,External factors,Internal factors,89.7
4/2/21 10:39,4/2/21 10:43,209.50.48.99,237,R_3iPuuIhirPyayO4,9048495,41.84829712,-87.65170288,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,1,Internal factors,External factors,188.299
4/2/21 10:40,4/2/21 10:44,98.122.56.148,197,R_2z6iRtcjTkKHqk6,3729388,34.07369995,-81.18630219,Male,60+ years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,7,Internal factors,Internal factors,157.164
4/2/21 10:43,4/2/21 10:46,24.229.183.111,191,R_BxOPoXB0ZI2pTep,1985744,40.65679932,-75.3911972,Male,30-44 years old,Bachelor's degree in college (4-year),0 years (No work experience),Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,5,Internal factors,External factors,163.698
4/2/21 10:44,4/2/21 10:46,96.59.135.198,160,R_3EEI0tAdjrXxIuX,4404351,28.06840515,-82.75930023,Female,45-59 years old,Bachelor's degree in college (4-year),16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,5,External factors,External factors,124.281
4/2/21 10:43,4/2/21 10:47,97.102.137.184,239,R_3oOeKs4KvUd9Iyw,3106083,29.15660095,-81.02680206,Male,60+ years old,High school graduate (high school diploma or equivalent including GED),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,3,Internal factors,Internal factors,185.668
4/2/21 10:41,4/2/21 10:47,172.58.236.196,323,R_a2Za8FFFQGwY08x,8020340,40.75970459,-74.18360138,Male,30-44 years old,Master's degree,16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,3,8,Internal factors,External factors,277.038
4/2/21 10:47,4/2/21 10:49,104.1.229.144,146,R_1LoK9HkJS87V2pi,4819349,36.3401947,-79.66220093,Male,30-44 years old,Associate degree in college (2-year),11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,2,External factors,External factors,116.092
4/2/21 10:46,4/2/21 10:50,73.226.185.236,260,R_2azNJvQBxK0j0Ne,9359579,39.86019897,-74.8246994,Female,60+ years old,Associate degree in college (2-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,4,External factors,External factors,210.7
4/2/21 10:50,4/2/21 10:51,98.197.200.74,55,R_3UC0DyeOi1ReUlX,6579858,29.57200623,-95.54000092,Male,18-29 years old,Bachelor's degree in college (4-year),6-10 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,Internal factors,Internal factors,34.663
4/2/21 10:50,4/2/21 10:52,98.36.97.118,117,R_PGPKvwJM9fzgx7H,6639527,38.47990417,-121.4450989,Female,30-44 years old,Bachelor's degree in college (4-year),16-20 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,8,External factors,Internal factors,97.847
4/2/21 10:51,4/2/21 10:52,71.235.119.169,108,R_9oR6cCdhhRMqnjH,7481435,41.34339905,-73.08059692,Male,30-44 years old,Master's degree,6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,Internal factors,External factors,77.505
4/2/21 10:53,4/2/21 10:55,24.101.15.149,116,R_OfnTzKwcWM6KSFX,6383784,40.85519409,-82.31430054,Male,60+ years old,Master's degree,6-10 years,Black or African American,,Kevin,15%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,9,8,Internal factors,Internal factors,30.763
4/2/21 10:53,4/2/21 10:55,96.255.79.70,117,R_12DyXE0xqi9Ij0E,7504877,38.88650513,-77.0911026,Male,45-59 years old,Master's degree,11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,8,Internal factors,External factors,88.544
4/2/21 10:54,4/2/21 10:56,65.129.48.60,157,R_1ohG7P9fP8dSFII,1668207,43.65020752,-116.4342957,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),0 years (No work experience),White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,7,External factors,Internal factors,136.786
4/2/21 10:53,4/2/21 10:57,198.40.240.194,214,R_33D3eTMS1EwyYB4,6455588,31.5677948,-84.16190338,Female,18-29 years old,Bachelor's degree in college (4-year),1-2 years,Black or African American,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,0,0,Internal factors,Internal factors,193.714
4/2/21 11:02,4/2/21 11:04,24.74.74.47,126,R_QbqnCQrn2tfoqD7,3205718,34.04960632,-81.11100006,Male,18-29 years old,Bachelor's degree in college (4-year),1-2 years,Black or African American,,Kevin,15%,Recognized the entire team for their support,Strict company policy on timing of salary increases,10,9,Internal factors,External factors,89.671
4/2/21 11:03,4/2/21 11:04,216.249.144.81,72,R_3RwLo4JWJM1ypw9,1405088,36.60890198,-88.30310059,Female,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,External factors,External factors,49.355
4/2/21 10:40,4/2/21 11:06,154.3.250.160,1564,R_YWWucDrjskfxucF,6702206,32.77670288,-96.80500031,Female,30-44 years old,Bachelor's degree in college (4-year),11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,External factors,Internal factors,1511.733
4/2/21 11:04,4/2/21 11:06,73.195.73.254,99,R_OlO6Ggl2lYSsnZf,4060226,39.94580078,-74.90419769,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,7,Internal factors,External factors,84.796
4/2/21 11:08,4/2/21 11:11,12.69.234.140,201,R_3Mhxh34HcqVkMu7,9095028,32.7203064,-117.1551971,Male,45-59 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,4,Internal factors,External factors,180.319
4/2/21 11:15,4/2/21 11:18,173.15.111.11,169,R_1jqucMQUbZlJlyn,6672294,41.94619751,-88.07579803,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,6,Internal factors,Internal factors,153.583
4/2/21 11:21,4/2/21 11:22,47.147.30.244,68,R_UrNgGOFoMGkPN17,1408859,34.00320435,-117.9617004,Female,30-44 years old,Associate degree in college (2-year),1-2 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,8,Internal factors,Internal factors,46.328
4/2/21 11:20,4/2/21 11:23,63.75.249.97,187,R_Pv4ZmN73Jxah2zT,5445993,39.61019897,-75.67469788,Male,18-29 years old,Master's degree,3-5 years,White,,Kevin,15%,Got straight to [his/her] request,[]'s performance doesn't warrant a raise,7,6,Internal factors,External factors,128.035
4/2/21 11:23,4/2/21 11:25,68.5.18.92,89,R_1IYOWr4XzxvNdfv,2518250,33.70150757,-117.7528,Male,30-44 years old,Bachelor's degree in college (4-year),6-10 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,3,External factors,Internal factors,75.626
4/2/21 11:23,4/2/21 11:25,107.77.235.203,122,R_DujSdQOXGKUzjah,5261048,33.80189514,-84.38610077,Female,30-44 years old,Master's degree,6-10 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,8,Internal factors,Internal factors,91.796
4/2/21 11:26,4/2/21 11:27,195.206.111.158,69,R_TjxzPbbGaexNHHj,4626747,41.5,-81.69380188,Female,18-29 years old,Bachelor's degree in college (4-year),1-2 years,White,,Kevin,5%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,8,9,Internal factors,Internal factors,12.376
4/2/21 11:28,4/2/21 11:30,185.232.22.209,133,R_3HYYtPjyDFoH0zP,5237759,40.71569824,-74,Female,45-59 years old,Bachelor's degree in college (4-year),3-5 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,9,10,Internal factors,External factors,29.079
4/2/21 11:28,4/2/21 11:31,63.144.200.162,186,R_vAd2IbjC1R1BbnH,4533350,40.52799988,-104.7181015,Male,30-44 years old,High school graduate (high school diploma or equivalent including GED),16-20 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,6,4,Internal factors,External factors,161.096
4/2/21 11:31,4/2/21 11:34,97.81.134.225,174,R_3JgPZTMbVOLHP4l,1919549,35.8000946,-83.88110352,Female,30-44 years old,Doctoral degree,6-10 years,Asian,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,7,Internal factors,External factors,149.498
4/2/21 11:31,4/2/21 11:36,196.17.65.35,345,R_1QxCO0sllf7ZoL9,6035536,34.05439758,-118.2440033,Female,45-59 years old,Master's degree,3-5 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,5,5,Internal factors,Internal factors,306.374
4/2/21 11:38,4/2/21 11:39,64.239.192.71,77,R_3NX6RJnvkFBu17V,5807852,31.99429321,-93.96269989,Female,30-44 years old,Associate degree in college (2-year),11-15 years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,2,4,Internal factors,Internal factors,57.158
4/2/21 11:41,4/2/21 11:46,23.117.40.62,307,R_2WvP3S8IgTTx9cz,4859369,29.91490173,-81.36720276,Male,60+ years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,4,5,Internal factors,External factors,272.599
4/2/21 11:44,4/2/21 11:47,72.83.187.98,143,R_UtrT7EJvRlSALyp,6378153,39.08509827,-77.05899811,Male,30-44 years old,Bachelor's degree in college (4-year),21+ years,White,,Kevin,15%,Recapped the work [he/she] has done over the past year,Does not have the budget for salary increases,7,6,External factors,Internal factors,118.386
